Date;Open;High;Low;Close;Volume;
2007-08-30;901.26;904.98;901.26;903.94;5.35K;
2007-08-31;904.57;910.07;904.57;908.37;7.85K;
2007-09-04;919.87;929.85;919.87;929.85;8.27K;
2007-09-05;938.76;938.76;925.57;925.57;8.95K;
2007-09-06;926.11;928.36;925.99;928.36;7.34K;
2007-09-07;929.53;934.13;929.53;934.13;6.76K;
2007-09-10;933.02;933.02;927.14;927.14;7.75K;
2007-09-11;925.28;925.28;920.48;920.48;13.48K;
2007-09-12;922.66;923.83;921.19;921.19;7.11K;
2007-09-13;920.55;921.31;920.55;921.31;9.38K;
2007-09-14;924.14;930.46;924.14;930.46;5.46K;
2007-09-17;932.38;934.74;932.38;934.74;11.29K;
2007-09-18;933.78;935.17;933.78;935.17;7.65K;
2007-09-19;942.52;946.22;942.52;946.22;9.23K;
2007-09-20;960.56;963.61;960.56;963.61;11.03K;
2007-09-21;965.20;965.20;958.67;958.67;11.38K;
2007-09-24;967.89;975.82;967.89;975.82;12.06K;
2007-09-25;1,005.79;1,009.88;1,005.50;1,009.88;15.51K;
2007-09-26;1,029.73;1,029.73;1,015.39;1,015.91;16.59K;
2007-09-27;1,012.26;1,014.09;1,009.83;1,014.09;13.03K;
2007-09-28;1,030.77;1,046.86;1,030.77;1,046.86;15.06K;
2007-10-01;1,072.72;1,084.39;1,072.72;1,084.39;21.25K;
2007-10-02;1,096.97;1,099.48;1,092.30;1,099.48;17.81K;
2007-10-03;1,099.34;1,106.60;1,099.23;1,106.60;14.94K;
2007-10-04;1,107.80;1,107.80;1,087.76;1,087.76;16.98K;
2007-10-05;1,086.92;1,086.92;1,081.63;1,081.63;16.63K;
2007-10-08;1,084.58;1,088.11;1,084.58;1,084.87;14.13K;
2007-10-09;1,093.07;1,097.36;1,093.07;1,097.36;14.88K;
2007-10-10;1,110.78;1,110.78;1,104.67;1,104.67;14.30K;
2007-10-11;1,107.05;1,107.05;1,099.31;1,099.31;12.79K;
2007-10-12;1,097.58;1,104.61;1,097.58;1,104.61;16.23K;
2007-10-15;1,104.42;1,105.21;1,103.94;1,105.21;13.10K;
2007-10-16;1,106.67;1,106.67;1,103.79;1,103.88;15.47K;
2007-10-17;1,106.21;1,106.72;1,101.29;1,101.29;13.67K;
2007-10-18;1,094.93;1,094.93;1,088.68;1,088.68;15.48K;
2007-10-19;1,078.21;1,097.07;1,078.21;1,097.07;12.49K;
