Date;Open;High;Low;Close;Volume
02/01/2013;415.50;419.05;414.41;418.35;64.29K
03/01/2013;420.68;420.68;413.68;419.27;99.83K
04/01/2013;418.75;426.48;417.50;426.06;64.85K
07/01/2013;428.53;434.64;426.86;434.19;78.32K
08/01/2013;437.25;447.16;437.15;447.16;121.10K
09/01/2013;447.16;457.75;442.26;448.77;134.77K
10/01/2013;447.99;460.12;444.08;460.12;79.40K
11/01/2013;468.39;469.16;461.74;462.69;75.12K
14/01/2013;458.08;462.08;455.51;458.97;69.55K
15/01/2013;459.24;461.42;455.93;461.42;88.78K
16/01/2013;462.17;470.34;462.17;465.25;96.57K
17/01/2013;465.66;466.55;456.76;456.76;96.33K
18/01/2013;458.21;459.82;450.28;454.16;84.21K
21/01/2013;453.91;456.34;447.79;447.79;58.68K
22/01/2013;449.01;450.80;441.24;442.85;67.33K
23/01/2013;443.96;447.79;440.48;443.37;50.66K
24/01/2013;444.34;452.40;444.19;452.40;49.81K
25/01/2013;455.28;468.09;455.25;468.09;86.46K
28/01/2013;474.27;485.67;474.27;479.60;107.36K
29/01/2013;478.02;484.34;476.33;484.01;88.11K
30/01/2013;486.67;490.89;482.76;487.60;83.26K
31/01/2013;484.04;485.19;479.79;479.79;80.50K
01/02/2013;477.11;483.42;473.23;483.42;76.85K
04/02/2013;487.06;488.96;482.38;482.38;56.88K
05/02/2013;481.82;482.56;477.36;477.36;63.41K
06/02/2013;479.62;488.62;479.62;488.36;65.15K
07/02/2013;490.88;493.72;488.03;490.62;73.01K
08/02/2013;491.85;495.72;489.64;494.03;60.72K
18/02/2013;497.87;497.87;493.95;493.95;69.42K
19/02/2013;493.40;495.39;490.33;490.78;104.49K
20/02/2013;487.99;495.82;487.68;494.83;78.55K
21/02/2013;494.83;497.70;476.73;476.73;123.31K
22/02/2013;482.03;487.11;470.23;477.69;107.35K
25/02/2013;481.67;483.97;478.30;483.69;49.62K
26/02/2013;482.50;482.50;463.64;465.05;93.97K
27/02/2013;465.89;467.50;459.64;465.72;71.44K
