Date;Open;High;Low;Close;Volume
19/04/2013;20,870.0;20,870.0;20,870.0;20,870.0;
22/04/2013;20,905.0;20,945.0;20,895.0;20,900.0;
23/04/2013;20,925.0;20,950.0;20,860.0;20,900.0;
24/04/2013;20,925.0;20,935.0;20,857.5;20,900.0;
25/04/2013;20,935.0;20,955.0;20,915.0;20,880.0;
26/04/2013;20,925.0;20,937.5;20,840.0;20,810.0;
29/04/2013;20,810.0;20,810.0;20,810.0;20,810.0;
30/04/2013;20,810.0;20,810.0;20,810.0;20,810.0;
01/05/2013;20,810.0;20,810.0;20,810.0;20,810.0;
02/05/2013;20,940.0;20,940.0;20,920.0;20,910.0;
03/05/2013;20,935.0;20,950.0;20,920.0;20,915.0;
06/05/2013;20,935.0;20,945.0;20,925.0;20,910.0;
07/05/2013;20,932.5;20,945.0;20,925.0;20,910.0;
08/05/2013;20,937.5;20,945.0;20,925.0;20,910.0;
09/05/2013;20,942.5;20,945.0;20,925.0;20,920.0;
10/05/2013;20,940.0;20,945.0;20,925.0;20,920.0;
13/05/2013;20,937.5;20,954.0;20,920.0;20,938.0;
14/05/2013;20,935.0;20,945.0;20,925.0;20,920.0;
15/05/2013;20,940.0;20,945.0;20,935.0;20,920.0;
16/05/2013;20,942.5;20,950.0;20,935.0;20,920.0;
17/05/2013;20,965.0;21,003.0;20,945.0;20,950.0;
20/05/2013;20,987.5;21,005.5;20,930.0;20,950.0;
21/05/2013;20,992.5;21,017.5;20,935.0;20,915.0;
22/05/2013;20,997.5;21,012.5;20,935.0;20,970.0;
23/05/2013;21,005.0;21,012.5;20,990.0;20,970.0;
24/05/2013;21,000.0;21,013.0;20,965.0;20,910.0;
27/05/2013;21,000.0;21,013.0;20,935.0;20,970.0;
28/05/2013;21,002.5;21,013.0;20,990.0;20,960.0;
29/05/2013;21,005.5;21,018.0;20,995.0;20,980.0;
30/05/2013;21,013.0;21,018.0;20,937.5;20,980.0;
31/05/2013;21,010.5;21,018.0;20,997.5;20,990.0;
03/06/2013;21,010.5;21,018.0;20,983.0;20,975.0;
04/06/2013;21,008.0;21,028.0;21,002.5;20,980.0;
05/06/2013;21,015.5;21,018.0;21,002.5;21,000.0;
06/06/2013;21,015.5;21,018.0;21,008.0;20,990.0;
07/06/2013;21,015.5;21,023.0;21,008.0;21,000.0;
10/06/2013;21,015.5;21,035.5;21,008.0;21,000.0;
11/06/2013;21,015.5;21,035.5;21,008.0;21,020.0;
12/06/2013;21,033.0;21,035.5;21,003.0;21,000.0;
13/06/2013;21,033.0;21,035.5;21,003.0;21,035.0;
14/06/2013;21,033.0;21,035.5;21,003.0;20,970.0;
17/06/2013;21,035.5;21,035.5;21,018.0;21,030.0;
18/06/2013;21,033.0;21,035.5;21,018.0;21,035.0;
