time,open,high,low,close,volume
2013-01-01 07:00:00,20820.0,20820.0,20820.0,20820.0,
2013-01-02 07:00:00,20840.0,20870.0,20822.5,20815.0,
2013-01-03 07:00:00,20842.5,20870.0,20820.5,20815.0,
2013-01-04 07:00:00,20840.0,20870.0,20819.5,20830.0,
2013-01-07 07:00:00,20840.0,20870.0,20822.5,20815.0,
2013-01-08 07:00:00,20842.5,20870.0,20823.5,20815.0,
2013-01-09 07:00:00,20842.5,20870.0,20827.5,20815.0,
2013-01-10 07:00:00,20842.5,20870.0,20821.5,20815.0,
2013-01-11 07:00:00,20842.5,20870.0,20821.5,20800.0,
2013-01-14 07:00:00,20842.5,20870.5,20821.5,20841.0,
2013-01-15 07:00:00,20845.0,20870.5,20821.5,20841.0,
2013-01-16 07:00:00,20842.5,20872.5,20820.0,20820.0,
2013-01-17 07:00:00,20840.0,20870.0,20821.0,20820.0,
2013-01-18 07:00:00,20845.0,20873.0,20821.0,20820.0,
2013-01-21 07:00:00,20845.0,20870.5,20823.0,20820.0,
2013-01-22 07:00:00,20845.0,20870.0,20822.5,20820.0,
2013-01-23 07:00:00,20847.5,20870.0,20821.5,20820.0,
2013-01-24 07:00:00,20845.0,20870.0,20821.5,20820.0,
2013-01-25 07:00:00,20845.0,20870.0,20821.5,20815.0,
2013-01-28 07:00:00,20847.5,20870.0,20819.0,20815.0,
2013-01-29 07:00:00,20840.0,20870.0,20823.0,20830.0,
2013-01-30 07:00:00,20847.5,20870.0,20821.0,20805.0,
2013-01-31 07:00:00,20847.5,20870.0,20820.0,20810.0,
2013-02-01 07:00:00,20842.5,20867.5,20820.0,20805.0,
2013-02-04 07:00:00,20840.0,20865.0,20815.0,20815.0,
2013-02-05 07:00:00,20835.0,20860.0,20807.0,20805.0,
2013-02-06 07:00:00,20837.5,20860.0,20807.0,20810.0,
2013-02-07 07:00:00,20827.5,20860.0,20795.0,20800.0,
2013-02-08 07:00:00,20820.0,20845.0,20812.0,20820.0,
2013-02-11 07:00:00,20820.0,20820.0,20820.0,20820.0,
2013-02-12 07:00:00,20820.0,20820.0,20820.0,20820.0,
2013-02-13 07:00:00,20820.0,20820.0,20820.0,20820.0,
2013-02-14 07:00:00,20820.0,20820.0,20820.0,20820.0,
2013-02-15 07:00:00,20845.0,20845.0,20845.0,20820.0,
2013-02-18 07:00:00,20842.5,20860.0,20812.0,20810.0,
2013-02-19 07:00:00,20850.0,20862.5,20812.0,20830.0,
